name,longitude,latitude,isRestArea
외동(부산),129.285277,35.672753,1
외동(포항),129.288543,35.672847,1
용인(강릉),127.2419801,37.245583,1
용인(인천),127.238342,37.248318,1
울주(울산),129.130435,35.510821,1
울주(함양),129.128519,35.5131601,1
원주(부산),127.929063,37.435194,1
원주(춘천),127.931768,37.434542,1
음성(남이),127.480712,37.019638,1
음성(하남),127.484315,37.022065,1
의성(영덕),128.447699,36.409501,1
의성(청주),128.4447101,36.410954,1
이서(순천),127.023705,35.803936,1
이서(천안),127.025759,35.801932,1
이천(남이),127.403687,37.264574,1
이천(하남),127.378203,37.293979,1
입장거봉포도(서울),127.192467,36.942997,1
장유(서부산),128.7935801,35.212074,1
장흥정남진,126.931319,34.720894,1
정읍녹두장군(순천),126.862006,35.601465,1
정읍녹두장군(천안),126.864336,35.599975,1
주암(순천),127.2641001,35.076197,1
주암(천안),127.265762,35.076587,1
죽암(부산),127.429261,36.4868101,1
죽암(서울),127.4306501,36.496775,1
죽전(서울),127.104795,37.332371,1
지리산(광주),127.567106,35.483942,1
지리산(대구),127.566804,35.481353,1
진안마이산(익산),127.425279,35.777898,1
진안마이산(장수),127.426362,35.7748201,1
진영(부산),128.715388,35.2779101,1
진영(순천),128.716044,35.280059,1
진주(부산),128.1220101,35.159772,1
천등산(제천),127.939378,37.061597,1
천등산(평택),127.989171,37.076872,1
천안삼거리(서울),127.173455,36.787809,1
천안호두(부산),127.263879,36.730226,1
청송(영덕),129.0131901,36.455725,1
청송(청주),129.012028,36.456721,1
청주(서울),127.349315,36.716005,1
청통(대구),128.859145,35.993928,1
추풍령(부산),128.000331,36.200356,1
추풍령(서울),128.003242,36.199708,1
춘천(부산),127.766078,37.8126801,1
시초,126.7661638,36.12771449,0
부여,126.8743153,36.31945138,0
삼례,127.0575491,35.90227648,0
삼례,127.0700848,35.91813603,0
전주,127.0513858,35.86956429,0
전주,127.0516682,35.86947805,0
서전주,127.0295201,35.81832633,0
태인,126.9322504,35.66350643,0
정우,126.9008508,35.63536201,0
정우,126.9028255,35.63629248,0
내장산,126.797915,35.49545628,0
내장산,126.8138166,35.53752305,0
마이산,127.3590723,35.77052762,0
마이산,127.3629332,35.76763628,0
금산,127.5720737,36.03243515,0
금산,127.551852,36.06077801,0
무주,127.6598176,35.93471333,0
무주,127.666254,35.911465,0
논산,127.1757655,36.1595499,0
논산,127.164785,36.15344577,0
완주,127.1011742,35.92802974,0
완주,127.1007658,35.92835808,0
서김제,126.8426538,35.8529422,0
서김제,126.8428673,35.8525746,0
줄포,126.6947728,35.5704338,0
고창,126.6040472,35.37775703,0
광천,126.5872371,36.47863534,0
무창포,126.5791253,36.2749228,0
춘장대,126.5929585,36.18898038,0
춘장대,126.5884265,36.19893677,0
서천,126.747055,36.06879574,0
서천,126.747055,36.06879574,0
담양,126.9711687,35.26094439,0
장성,126.7935583,35.31545483,0
장성,126.7939767,35.3168901,0
광산,126.8263096,35.22685633,0
대덕,127.0258298,35.24506423,0
삼기,127.2041699,35.23404867,0
삼기,127.2041806,35.23383947,0
장성물류,126.778012,35.347596,0
장성물류,126.7777965,35.34725215,0
태령,126.9283468,35.24883378,0
태령,126.9283468,35.24883378,0
주암,127.2773555,35.05593487,0
주암,127.2773555,35.05593487,0
순천,127.4936989,34.99606303,0
광양,127.5891467,34.9840263101,0
광양,127.5891467,34.9840263101,0
영광,126.5189718,35.24945575,0
진주,128.0291887,35.1974427,0
진주,128.0295319,35.19697858,0
울산,129.1675288,35.55044188,0
울산,129.1676029,35.55007712,0
현풍,128.435925,35.66671716,0
창녕,128.4885717,35.53087935,0
창녕,128.4757461,35.54493533,0
금곡,128.1642909,35.09473045,0
금곡,128.1644658,35.09495156,0
고성,128.3735157,34.98175411,0
고성,128.3735157,34.98175411,0
내남,129.194721,35.75225939,0
언양,129.140183,35.59837007,0
삼남,129.118872,35.545332,0
양산,129.0428034,35.34312987,0
양산,129.0421478,35.34235591,0
김해,128.8702906,35.22085404,0
북창원,128.6172025,35.28314827,0
진례,128.7589787,35.24932395,0
진례,128.7603006,35.24528591,0
창원,128.6120097,35.26331546,0
창원,128.6120097,35.26331546,0
곤양,127.9446964,35.05317013,0
곤양,127.9446964,35.05317013,0
지수,128.2537064,35.20659712,0
지수,128.2582372,35.20799567,0
서상,127.7088355,35.63527857,0
서상,127.7139066,35.63350327,0
수동,127.7962334,35.51724618,0
수동,127.7962334,35.51724618,0
금서,127.8532348,35.44032162,0
금서,127.8547834,35.43837913,0
보문,128.554036,36.68978886,0
풍산,128.5841601,36.60315372,0
죽령,128.3977005,36.91350622,0
죽령,128.3969014,36.91372023,0
아포,128.2591005,36.19807703,0
선산,128.2621289,36.21309917,0
오봉,128.2616627,36.09261436,0
개진,128.417746,35.7041488,0
삼춘,128.576998,36.42102683,0
하화,128.699326,36.41882715,0
묵계,128.9287923,36.43786162,0
지품,129.1747296,36.4809483,0
수암,129.2107704,36.46159596,0
일광,129.2061941,35.29233912,0
일광,129.2061941,35.29233912,0
김해,128.8702906,35.22085404,0
북안,128.9980117,35.924622,0
북안,128.999844,35.9246295,0
칠곡,128.4794864,35.90491377,0
칠곡,128.504056,35.910297,0
봉무,128.6510886,35.93259366,0
봉무,128.6525431,35.93148217,0
안평,128.5771112,36.37976405,0
안평,128.5774794,36.37903059,0
명곡,128.5410969,36.12565427,0
명곡,128.5417815,36.12560806,0
읍내,128.5476662,35.94842006,0
화산,128.8854996,36.01706571,0
남상,127.881546,35.61123398,0
남상,127.906245,35.636051,0
쌍림,128.2338851,35.7006443,0
고령,128.2973482,35.72240209,0
몽탄,126.5038207,34.95257541,0
몽탄,126.504596,34.94576778,0
벌교,127.381603,34.823812,0
강진,126.7740237,34.68656192,0
강진,126.755097,34.694235,0
대강,127.2343431,35.38527305,0
봉산,128.0256800293,36.15643219,0
봉산,128.0264901,36.15651708,0
대신,128.1912392,36.15251095,0
대신,128.1907565,36.15281944,0
선기,128.3161787,36.13630671,0
선기,128.3165002,36.13627142,0
석적,128.4080556,36.05163274,0
지천,128.4844738,35.92212137,0
검단,128.6134722,35.91491799,0
검단,128.6144513,35.91573946,0
오창,127.4566151,36.73464638,0
봉양,128.1289432,37.17850371,0
가남,127.6265365,37.1690741,0
앙성,127.7157274,37.09940663,0
노은,127.7703458,37.03983887,0
대소원,127.8477682,36.97440026,0
회인,127.5917497,36.50179435,0
탄부,127.769757,36.45441271,0
탄부,127.769757,36.45441271,0
상주,128.0442945,36.42575645,0
상주,128.0699237,36.40745802,0
중앙탑,127.8318915,37.04140228,0
중앙탑,127.8304502,37.04071855,0
금성,128.1504306,37.07816706,0
금성,128.1502779,37.07784786,0
인제,128.233328,37.84093096,0
양양,128.5344015,37.99622926,0
양양,128.5363842,37.99956719,0
이천,127.4670635,37.24279698,0
이천,127.4654933,37.24176915,0
여주,127.5464181,37.34228633,0
여주,127.5467197,37.34166074,0
모가,127.4433182,37.19659002,0
모가,127.4434293,37.19685569,0
일죽,127.4570094,37.08423849,0
일죽,127.4570094,37.08423849,0
대소,127.4692814,36.97707396,0
진천,127.4868784,36.85361062,0
농다리,127.494039,36.83465606,0
오창,127.4563134,36.73519974,0
삽교,128.2743265,37.52216459,0
월정,128.5932277,37.66472501,0
월정,128.5932328,37.66392828,0
대관령,128.7202156,37.6751734,0
대관령전망대,128.7790019,37.72400902,0
홍천강,127.8275845,37.71175324,0
만종,127.908801,37.3495824,0
만종,127.9099097,37.35014699,0
횡성,127.973639,37.573915,0
횡성,127.9741438,37.58111815,0
북방,127.880209,37.75810138,0
단봉,129.107133,37.45971546,0
강현,128.5795826,38.1184743,0
강현,128.5797114,38.11953935,0
인제,128.2354008,37.84347461,0
번천,127.254336,37.45446159,0
번천,127.254336,37.45446159,0
도척,127.3387835,37.32332718,0
도척,127.3387835,37.32332718,0
상번천,127.2736769,37.44865226,0
상번천,127.275447,37.44787093,0
청계,127.0223096,37.39327011,0
성남,127.1347192,37.44119064,0
구리남양주,127.1559021,37.58970285,0
생태습지,127.6038416,37.23526586,0
적금,127.7036535,37.25285377,0
적금,127.7153001,37.25885706,0
소초,128.0019496,37.42026395,0
소초,128.0019496,37.42026395,0
삽교,128.2754878,37.52293298,0
김포,126.768356,37.592299,0
김포,126.7606632,37.58700244,0
시흥,126.8038421,37.45071304,0
시흥,126.8031881,37.45048055,0
서서울,126.8648238,37.35664272,0
서서울,126.8619876,37.35493291,0
군자,126.7807808,37.35875579,0
이목,126.9857648,37.31955099,0
용인,127.1387267,37.28861576,0
향남,126.8883559,37.07012149,0
송탄,127.0803249,37.030977,0
송탄,127.081361,37.032321,0
오산,127.0871649,37.15670802,0
오산,127.0861027,37.1542659,0
남사,127.1207375,37.09619177,0
원곡,127.1519713,37.00111198,0
광혜원,127.4258721,36.95214955,0
문경,128.0611382,36.74701103,0
사벌,128.200327,36.46288735,0
낙상,128.2059013,36.44756543,0
